designation;nro;bprp;gabs;mass(Msun);prob
Gaia EDR3 1151102401274821120;239;-8,29E-02;11,54378743;0,60030299;0,94133544
Gaia EDR3 1151201735278368384;240;1,1062622;14,82931613;0,506808607;0,887106061
Gaia EDR3 1151867347833990272;241;0,8586941;14,68858882;0,757181754;0,447711945
Gaia EDR3 1152181395842409984;242;0,27109146;12,83496636;0,648632198;0,70494473
Gaia EDR3 1152639342435435904;243;1,1065598;14,72839535;0,477059068;0,962964654
Gaia EDR3 115344095513403520;244;0,64801216;14,33924651;0,775279745;0,541835487
Gaia EDR3 1153544794556784384;245;0,7067852;14,06425099;0,595822961;0,569181442
Gaia EDR3 1154004081179409920;246;-0,13834476;11,42766545;0,626727427;0,946350455
Gaia EDR3 1154089117236952960;247;0,60464096;13,87166999;0,638542869;0,50810045
Gaia EDR3 115409280235239296;248;1,0246124;14,59057996;0,497462647;0,892528653
Gaia EDR3 1154456216681249536;249;0,32219887;13,64732787;0,894133181;0,614097476
Gaia EDR3 1154943403412027520;250;0,59017944;13,78903497;0,622279411;0,505715013
Gaia EDR3 1155054660244121600;251;1,2122383;14,82389972;0,423266568;0,945949435
Gaia EDR3 1156006287558141056;252;0,9694729;14,80174466;0,617482596;0,707238317
Gaia EDR3 1158347014670132864;253;-7,74E-02;11,53821846;0,591068803;0,956653178
Gaia EDR3 1160054281350128384;254;0,59827614;14,41083215;0,860955324;0,583695829
Gaia EDR3 1160939452634666496;255;0,94802475;14,68571711;0,587073838;0,840127349
Gaia EDR3 1161215296909017728;256;-0,14036083;11,12229021;0,524131897;0,9353652
Gaia EDR3 1163166719594895872;257;0,7209778;14,290666;0,670573759;0,508134246
Gaia EDR3 1163809177983446272;258;0,9454346;14,38377085;0,488000689;0,664991379
Gaia EDR3 1163912467652160896;259;-0,10454178;11,30380271;0,538711434;0,942162216
Gaia EDR3 1164185283975493120;260;0,12734604;11,97238121;0,523174528;0,785715222
Gaia EDR3 1164767677244452096;261;0,23493576;13,23857509;0,858584205;0,619073868
Gaia EDR3 1165354855109711232;262;-0,29570007;10,63876917;0,588411021;0,943406224
Gaia EDR3 1165926910393567872;263;0,51909256;13,28990505;0,520844535;0,571622849
Gaia EDR3 1165926910393568384;264;0,66090584;13,61851553;0,49696822;0,535850525
Gaia EDR3 1167866620703225984;265;0,6204548;14,0881967;0,706997181;0,533977091
Gaia EDR3 1168173070914786816;266;0,6005707;13,64167193;0,554854242;0,557380795
Gaia EDR3 116827856393605120;267;0,90273666;14,60831821;0,598220291;0,74471283
Gaia EDR3 1170279945646967424;268;0,22372627;12,40317888;0,550973035;0,66196084
Gaia EDR3 1171211743096194560;269;0,5389633;14,90331475;1,077235154;0,518021047
Gaia EDR3 1171581179003421312;270;0,6466179;13,89404866;0,59825396;0,519477785
